Order ID,Product,Category,Amount,Date,Country,Month from date,Amount_Q1,Count_Q2,Amount_Q3,Amount_Q4,Count_Q5,FORMULA OF  ANSWERS
1,Shoe,Footwear,4270,06-01-2016,Madhya Pradesh,1,176971,13,194226,53398,2,"SUMIFS(D2:D187,C2:C187,""Stationary"",F2:N6,""Madhya Pradesh"")"
2,Scale,Stationary,617,08-01-2016,Madhya Pradesh,1,,,,,,"COUNTIFS(C2:C187,""Stationary"",F2:F187,""Tamilnadu"")"
3,Scale,Stationary,8384,10-01-2016,West Bengal,1,,,,,,"SUMIF(C2:D187,""Footwear"",D2:D187)"
4,Socks,Footwear,2626,10-01-2016,Uttar Pradesh,1,,,,,,"SUMIFS(D2:D187,C2:C187,""Stationary"",G2:G187,7)"
5,Compass,Stationary,3610,11-01-2016,Madhya Pradesh,1,,,,,,"COUNTIFS(C2:C187,""Footwear"",F2:F187,""Delhi"")"
6,Scale,Stationary,6906,16-01-2016,Tamilnadu,1,,,,,,
7,Pencil,Stationary,2417,16-01-2016,Delhi,1,,,,,,
8,Pencil,Stationary,7431,16-01-2016,West Bengal,1,,,,,,
9,Scale,Stationary,8250,16-01-2016,Uttar Pradesh,1,,,,,,
10,Shoe,Footwear,1903,20-01-2016,Uttar Pradesh,1,,,,,,
11,Pencil,Stationary,6946,24-01-2016,Delhi,1,,,,,,
12,Scale,Stationary,2320,27-01-2016,Kerala,1,,,,,,
13,Scale,Stationary,2116,28-01-2016,Madhya Pradesh,1,,,,,,
14,Scale,Stationary,1135,30-01-2016,Kerala,1,,,,,,
15,Pencil,Stationary,1161,02-02-2016,Madhya Pradesh,2,,,,,,
16,Compass,Stationary,2256,04-02-2016,Delhi,2,,,,,,
17,Scale,Stationary,1004,11-02-2016,Tamilnadu,2,,,,,,
18,Scale,Stationary,3642,14-02-2016,West Bengal,2,,,,,,
19,Scale,Stationary,4582,17-02-2016,Madhya Pradesh,2,,,,,,
20,Socks,Footwear,3559,17-02-2016,Kerala,2,,,,,,
21,Shoe,Footwear,5154,17-02-2016,Telangana,2,,,,,,
22,Pen,Stationary,7388,18-02-2016,Delhi,2,,,,,,
23,Socks,Footwear,7163,18-02-2016,Madhya Pradesh,2,,,,,,
24,Socks,Footwear,5101,20-02-2016,Uttar Pradesh,2,,,,,,
25,Pencil,Stationary,7602,21-02-2016,Delhi,2,,,,,,
26,Pen,Stationary,1641,22-02-2016,Madhya Pradesh,2,,,,,,
27,Pencil,Stationary,8892,23-02-2016,Telangana,2,,,,,,
28,Pencil,Stationary,2060,29-02-2016,Delhi,2,,,,,,
29,Pencil,Stationary,6509,01-03-2016,Delhi,3,,,,,,
30,Pencil,Stationary,5718,04-03-2016,Telangana,3,,,,,,
31,Pencil,Stationary,7655,05-03-2016,Madhya Pradesh,3,,,,,,
32,Shoe,Footwear,9116,05-03-2016,Kerala,3,,,,,,
33,Scale,Stationary,2795,15-03-2016,Madhya Pradesh,3,,,,,,
34,Scale,Stationary,5084,15-03-2016,Madhya Pradesh,3,,,,,,
35,Shoe,Footwear,8941,15-03-2016,Kerala,3,,,,,,
36,Scale,Stationary,135,19-03-2016,West Bengal,3,,,,,,
37,Scale,Stationary,9400,19-03-2016,Telangana,3,,,,,,
38,Socks,Footwear,6045,21-03-2016,Uttar Pradesh,3,,,,,,
39,Pencil,Stationary,5820,22-03-2016,Tamilnadu,3,,,,,,
40,Compass,Stationary,8887,23-03-2016,Uttar Pradesh,3,,,,,,
